titles,days left to bid,url,description,skills,budget,verified_traits_list,competition_sum,competition_list
Retype from pdf to words,6 days left,https://www.freelancer.com/projects/pdf/retype-from-pdf-words-33189414/,"I need a freelancer who can Retype from pdf
to words urgently","PDF, Copy Typing, Word, Data Entry, Editing", $250-750 USD,['E-mail Verified'],22 freelancers are bidding on average $466 for this job,"[{'url': '/u/maniyogesh789', 'rating': '0.0'}, {'url': '/u/Shakil360GD', 'rating': '0.0'}, {'url': '/u/TahmidRI', 'rating': '0.0'}, {'url': '/u/amitkumarprusty1', 'rating': '0.0'}, {'url': '/u/binodrpachakoti1', 'rating': '0.0'}, {'url': '/u/satyajitpani59', 'rating': '0.0'}, {'url': '/u/manavmudgal99', 'rating': '0.0'}, {'url': '/u/sharafatnh', 'rating': '0.0'}, {'url': '/u/thatarvinder', 'rating': '0.0'}, {'url': '/u/rtabassum886', 'rating': '0.0'}, {'url': '/u/AmPROTechdigital', 'rating': '0.0'}, {'url': '/u/RakinMiddya', 'rating': '0.0'}, {'url': '/u/Brunoj89', 'rating': '0.0'}, {'url': '/u/Farisha1997', 'rating': '0.0'}, {'url': '/u/dhruvnagpal0523', 'rating': '0.0'}, {'url': '/u/khwimabrave', 'rating': '0.0'}, {'url': '/u/sambridhi15', 'rating': '0.0'}, {'url': '/u/alnoman82', 'rating': '0.0'}, {'url': '/u/sachinhdfcbank8', 'rating': '0.0'}]"
MORPHIE TALENT,6 days left,https://www.freelancer.com/projects/logo-design/morphie-talent/,Need a model for company On a contract based ,Logo Design, $250-750 USD,['E-mail Verified'],6 freelancers are bidding on average $338 for this job,"[{'url': '/u/Stunningart', 'rating': '4.9'}, {'url': '/u/sahildogra222', 'rating': '4.7'}, {'url': '/u/farithkizito', 'rating': '0.0'}, {'url': '/u/Abdulbasitma', 'rating': '0.0'}, {'url': '/u/JenGooman', 'rating': '0.0'}]"
Conversion of written documents to PDF file,6 days left,https://www.freelancer.com/projects/pdf/conversion-written-documents-pdf-file/,"I need someone who can convert written
images to PDF file accurately","PDF, Data Entry, Excel, Copy Typing, Data Processing", $250-750 USD,['E-mail Verified'],9 freelancers are bidding on average $494 for this job,"[{'url': '/u/sciaditya', 'rating': '0.0'}, {'url': '/u/Harun466', 'rating': '0.0'}, {'url': '/u/niranjanabala', 'rating': '0.0'}, {'url': '/u/Nitya2602', 'rating': '0.0'}, {'url': '/u/Zainab271', 'rating': '0.0'}, {'url': '/u/Waqastanoli6375', 'rating': '0.0'}, {'url': '/u/riyad66662', 'rating': '0.0'}, {'url': '/u/mazeemkhan012564', 'rating': '0.0'}]"
Letter conversation from PDF to words,6 days left,https://www.freelancer.com/projects/articles/letter-conversation-from-pdf-words/,"Please give me a price to retype the first 300
pages of the enclosed PDF","Article Writing, Content Writing, Article Rewriting, Ghostwriting, Book Writing", $250-750 USD,['E-mail Verified'],2 freelancers are bidding on average $375 for this job,"[{'url': '/u/Chikasunday', 'rating': '0.0'}]"
New installation odoo,6 days left,https://www.freelancer.com/projects/python/new-installation-odoo/,"I want a new installation of odoo15 community for testing propose.
","Python, ERP, Software Architecture, PHP, Linux", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",7 freelancers are bidding on average $35 for this job,"[{'url': '/u/RafimKs', 'rating': '4.9'}, {'url': '/u/anirbandutta999', 'rating': '5.0'}, {'url': '/u/ashwana2', 'rating': '0.0'}, {'url': '/u/stefanovicn300', 'rating': '0.0'}, {'url': '/u/skylarktechin', 'rating': '0.0'}, {'url': '/u/zahidmehmood3', 'rating': '0.0'}]"
Retyping a document to Ms word,6 days left,https://www.freelancer.com/projects/word/retyping-document-word-33189397/,"I need any freelance who can handle retyping
project needed in my company immediately if
you are interested","Word, Excel, Data Entry, Copy Typing, PDF", $250-750 USD,['E-mail Verified'],9 freelancers are bidding on average $450 for this job,"[{'url': '/u/jahan8835', 'rating': '0.0'}, {'url': '/u/farithkizito', 'rating': '0.0'}, {'url': '/u/muhammedkaf46', 'rating': '0.0'}, {'url': '/u/Manojthakur9690', 'rating': '0.0'}, {'url': '/u/jhtaliganga', 'rating': '0.0'}, {'url': '/u/Reallygood123', 'rating': '0.0'}, {'url': '/u/celinadag', 'rating': '0.0'}, {'url': '/u/shilpams135', 'rating': '0.0'}]"
Data entry  -- 2,6 days left,https://www.freelancer.com/projects/data-entry/data-entry-33189392/,"I want someone who can help translate from
Microsoft word to Pdf","Data Entry, Translation, Word, Excel, PDF", $250-750 USD,['E-mail Verified'],7 freelancers are bidding on average $257 for this job,"[{'url': '/u/sohanislam02', 'rating': '0.0'}, {'url': '/u/Meryemmourad', 'rating': '0.0'}, {'url': '/u/ozgurrgezer', 'rating': '0.0'}, {'url': '/u/shivanishiragan2', 'rating': '0.0'}, {'url': '/u/sasnineathra9', 'rating': '0.0'}, {'url': '/u/maitrikpatel1975', 'rating': '0.0'}]"
O-RAN C Programming Telecommunication Task,6 days left,https://www.freelancer.com/projects/c-programming/ran-programming-telecommunication-task/,"Hello! I have attached a Word document that has more information about my project. I have also linked up the repository to NexRAN, which is the architecture I need help on for my project.
[login to view URL] 

Essentially, I need someone who can help me to improvise the code for [login to view URL] architecture by implementing a threshold to tell when there is a DoS attack in the nexran architecture. I know that NexRAN may be foreign to many as its architecture is not very well known, but it is closely related to O-RAN.","C Programming, Software Architecture, Radio Access Network Commissioning, Telecommunications Engineering", $250-750 SGD,['E-mail Verified'],2 freelancers are bidding on average $375 for this job,"[{'url': '/u/surtisen887773', 'rating': '0.0'}]"
Write a Book on Crypto for Amazon,6 days left,https://www.freelancer.com/projects/ghostwriting/write-book-crypto-for-amazon/,Crypto portfolio creation guide for beginners to be sold on Amazon Kindle,"Ghostwriting, eBooks, Book Writing, Research Writing", ₹1500-12500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹7000 for this job,[]
Content Writer,6 days left,https://www.freelancer.com/projects/articles/content-writer-33189354/,"We are an expanding SEO company that publishes a large number of articles per month. We are looking to build long term relationships with new freelance writers. We create high-quality content and work with experienced writers.
We would love to work with you on a long term, monthly basis, This is an excellent work from home opportunity. We will provide remote training and ongoing support in line with our continuous professional development policy.

The skills we are looking for in a candidate include:-

Impeccable English, grammar, and spelling
Knowledge of SEO content strategy and creation
Understanding of keyword placement
Commitment and enthusiasm
The ability to follow instructions
Excellent communication skills

Our SEO company works with the casino industry. You will be writing for the Australian market and therefore will need to have native-level spelling and grammar to produce high-level original content incorporating SEO attributes.

For each article, you will be given detailed instructions. We also expect our writers to do research of their own. You will be asked to write about many topics such as:-
Casino reviews
Casino bonuses and promotions
Online casino games
Game providers
Casino industry news

If you meet our requirements, we would love you to work with us on a long term, monthly basis, writing around 25-40 articles per month.

Please send samples of previous work.
Skills Required
Copywriting
SEO
Article Writing
Research Writing
Content Writing","Article Writing, Content Writing, Article Rewriting, SEO Writing", $10-30 USD,['E-mail Verified'],11 freelancers are bidding on average $16 for this job,"[{'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/writingvector', 'rating': '5.0'}, {'url': '/u/FineIdeas', 'rating': '4.9'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/writerLanguage', 'rating': '4.9'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/Ekkzucia', 'rating': '5.0'}, {'url': '/u/shah474', 'rating': '0.0'}, {'url': '/u/Chegeh21', 'rating': '5.0'}, {'url': '/u/Banti00a', 'rating': '0.0'}]"
Retype word into document,6 days left,https://www.freelancer.com/projects/word/retype-word-into-document/,"Retype word into document
Retype word into document
Retype word into document
Retype word into document","Word, Copy Typing, Data Entry, PDF, Excel", $250-750 USD,['E-mail Verified'],11 freelancers are bidding on average $455 for this job,"[{'url': '/u/AbhiramAbhi3003', 'rating': '0.0'}, {'url': '/u/sidathrohan', 'rating': '0.0'}, {'url': '/u/Arti1205', 'rating': '0.0'}, {'url': '/u/alimuhammad20472', 'rating': '0.0'}, {'url': '/u/Reallygood123', 'rating': '0.0'}, {'url': '/u/Duabutt052', 'rating': '0.0'}, {'url': '/u/Zainabak47', 'rating': '0.0'}, {'url': '/u/faseehh227', 'rating': '0.0'}, {'url': '/u/Maecordero', 'rating': '0.0'}, {'url': '/u/monasoliman787', 'rating': '0.0'}]"
Content Writer,6 days left,https://www.freelancer.com/projects/articles/content-writer-33189354/,"We are an expanding SEO company that publishes a large number of articles per month. We are looking to build long term relationships with new freelance writers. We create high-quality content and work with experienced writers.
We would love to work with you on a long term, monthly basis, This is an excellent work from home opportunity. We will provide remote training and ongoing support in line with our continuous professional development policy.

The skills we are looking for in a candidate include:-

Impeccable English, grammar, and spelling
Knowledge of SEO content strategy and creation
Understanding of keyword placement
Commitment and enthusiasm
The ability to follow instructions
Excellent communication skills

Our SEO company works with the casino industry. You will be writing for the Australian market and therefore will need to have native-level spelling and grammar to produce high-level original content incorporating SEO attributes.

For each article, you will be given detailed instructions. We also expect our writers to do research of their own. You will be asked to write about many topics such as:-
Casino reviews
Casino bonuses and promotions
Online casino games
Game providers
Casino industry news

If you meet our requirements, we would love you to work with us on a long term, monthly basis, writing around 25-40 articles per month.

Please send samples of previous work.
Skills Required
Copywriting
SEO
Article Writing
Research Writing
Content Writing","Article Writing, Content Writing, Article Rewriting, SEO Writing", $10-30 USD,['E-mail Verified'],11 freelancers are bidding on average $16 for this job,"[{'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/writingvector', 'rating': '5.0'}, {'url': '/u/FineIdeas', 'rating': '4.9'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/writerLanguage', 'rating': '4.9'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/Ekkzucia', 'rating': '5.0'}, {'url': '/u/shah474', 'rating': '0.0'}, {'url': '/u/Chegeh21', 'rating': '5.0'}, {'url': '/u/Banti00a', 'rating': '0.0'}]"
Retype word into document,6 days left,https://www.freelancer.com/projects/word/retype-word-into-document/,"Retype word into document
Retype word into document
Retype word into document
Retype word into document","Word, Copy Typing, Data Entry, PDF, Excel", $250-750 USD,['E-mail Verified'],11 freelancers are bidding on average $455 for this job,"[{'url': '/u/AbhiramAbhi3003', 'rating': '0.0'}, {'url': '/u/sidathrohan', 'rating': '0.0'}, {'url': '/u/Arti1205', 'rating': '0.0'}, {'url': '/u/alimuhammad20472', 'rating': '0.0'}, {'url': '/u/Reallygood123', 'rating': '0.0'}, {'url': '/u/Duabutt052', 'rating': '0.0'}, {'url': '/u/Zainabak47', 'rating': '0.0'}, {'url': '/u/faseehh227', 'rating': '0.0'}, {'url': '/u/Maecordero', 'rating': '0.0'}, {'url': '/u/monasoliman787', 'rating': '0.0'}]"
Design and develop Ad Posting  Website Similar/better,6 days left,https://www.freelancer.com/projects/website-design/design-develop-posting-website-similar/,"We want to develop and design similar website to [login to view URL]

The website will be english and arabic.
","Website Design, PHP, Graphic Design, HTML, HTML5", $750-1500 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",30 freelancers are bidding on average $1031 for this job,"[{'url': '/u/dynamitewebsol', 'rating': '4.9'}, {'url': '/u/crea8ivetechno', 'rating': '4.8'}, {'url': '/u/rstomar', 'rating': '4.8'}, {'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/wpkiller', 'rating': '4.8'}, {'url': '/u/irfanui', 'rating': '5.0'}, {'url': '/u/debkumarlab', 'rating': '4.7'}, {'url': '/u/tayabani', 'rating': '5.0'}, {'url': '/u/Alimobi', 'rating': '4.9'}, {'url': '/u/Danilmolodoy', 'rating': '5.0'}, {'url': '/u/Slmmy', 'rating': '5.0'}, {'url': '/u/nsourov15', 'rating': '5.0'}, {'url': '/u/jobayar11', 'rating': '5.0'}, {'url': '/u/anistek', 'rating': '5.0'}, {'url': '/u/antonyhryts', 'rating': '5.0'}, {'url': '/u/illiadoroshchak4', 'rating': '5.0'}, {'url': '/u/info4webs', 'rating': '5.0'}, {'url': '/u/heenafullstacken', 'rating': '4.8'}, {'url': '/u/icgindia', 'rating': '4.8'}]"
magento product feed from one domain to another,6 days left,https://www.freelancer.com/projects/magento/magento-product-feed-from-one/,product feed from one magento site to another magento site automatically show product on another site when its posted on one site,"Magento, PHP, eCommerce, MySQL, HTML", $8-15 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",2 freelancers are bidding on average $14/hour for this job,"[{'url': '/u/EquinoxSoftwares', 'rating': '0.0'}]"
Type writing,6 days left,https://www.freelancer.com/projects/articles/type-writing-33189380/,"I need freelancer to do a simple job for me
that involves typing in native languages","Article Writing, Article Rewriting, Ghostwriting, Research Writing", $250-750 USD,['E-mail Verified'],3 freelancers are bidding on average $383 for this job,"[{'url': '/u/fbmnayem', 'rating': '0.0'}, {'url': '/u/FatemaKhalil200', 'rating': '0.0'}]"
VBA for Fixed Asset -- 2,6 days left,https://www.freelancer.com/projects/visual-basic/vba-for-fixed-asset/,"Calendar file - has the list of states.
Accounts File - filter this file with the list of states in a loop, for each state identify the active facility codes
FA Report - filter the identified facility codes in JE Tab.
Vlookups from Addtions/retirements/transfer tabs to identify which asset was addtion and which was a transfer

We need the separate excel file for each Company (Suppose Company 123, with facility codes as the tabs)
for each tab, separate totals for Additons/transfer/retirement
 and do a quick check at the end.
","Visual Basic, Excel, Visual Basic for Apps", ₹600-1500 INR,"['E-mail Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹1500 for this job,[]
Prestashop Fixes,6 days left,https://www.freelancer.com/projects/prestashop/prestashop-fixes-33189334/,"Fix some errrors in a 1.7 prestashop, about languaje and some simple functions","Prestashop, PHP", $15-25 CAD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",4 freelancers are bidding on average $19/hour for this job,"[{'url': '/u/ShrineWeb', 'rating': '4.7'}, {'url': '/u/Musharraf2022', 'rating': '5.0'}, {'url': '/u/ashwana2', 'rating': '0.0'}]"
Build me a sticker or poster,6 days left,https://www.freelancer.com/projects/graphic-design/build-sticker-poster/,"I want to make sticker for my products like dish wash liquid,detergent powder,hand wash,car wash. Liquid and foam and all type of liquid cleaner.","Graphic Design, Covers & Packaging, Brochure Design, Logo Design, Photoshop", ₹1500-12500 INR,['E-mail Verified'],12 freelancers are bidding on average ₹2997 for this job,"[{'url': '/u/crea8ivetechno', 'rating': '4.8'}, {'url': '/u/CrazzyArt', 'rating': '4.9'}, {'url': '/u/Kreaytivelions', 'rating': '4.9'}, {'url': '/u/vipjcreative', 'rating': '5.0'}, {'url': '/u/creativegraaphic', 'rating': '4.8'}, {'url': '/u/wingtechnologies', 'rating': '4.9'}, {'url': '/u/PinkiVJ', 'rating': '4.9'}, {'url': '/u/ShubhamKumarVfx', 'rating': '4.7'}, {'url': '/u/nishantkumar911', 'rating': '0.0'}, {'url': '/u/kumaratul484', 'rating': '0.0'}, {'url': '/u/asmanhas34', 'rating': '0.0'}]"
I am looking for a ghost writer for non-fiction,6 days left,https://www.freelancer.com/projects/ebooks/looking-for-ghost-writer-for/,"I want to publish an ebook on amazon kindle about crystal healing, it needs to be a complete guide which explains 100's of crystals and what their healing properties and uses are. I am looking for somebody to write this information for me as a ghost writer. ","eBooks, Ghostwriting, Book Writing, Research, Article Writing", £250-750 GBP,['E-mail Verified'],12 freelancers are bidding on average £311 for this job,"[{'url': '/u/Stopsolution', 'rating': '4.9'}, {'url': '/u/SupremeWriters', 'rating': '4.9'}, {'url': '/u/writingvector', 'rating': '5.0'}, {'url': '/u/FineIdeas', 'rating': '4.9'}, {'url': '/u/writerLanguage', 'rating': '4.9'}, {'url': '/u/SolutionMart', 'rating': '4.8'}, {'url': '/u/Miqbal242', 'rating': '5.0'}, {'url': '/u/HelpingLab', 'rating': '4.9'}, {'url': '/u/piyushamule18', 'rating': '0.0'}, {'url': '/u/nikoltunyan3', 'rating': '0.0'}, {'url': '/u/Hazeezah', 'rating': '0.0'}]"
Drawing show room,6 days left,https://www.freelancer.com/projects/graphic-design/drawing-show-room/,2D graphic drawing for the attached show room ,"Graphic Design, Illustrator, Photoshop, Animation", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",9 freelancers are bidding on average $45 for this job,"[{'url': '/u/alrightsolutions', 'rating': '4.9'}, {'url': '/u/engmoriadham', 'rating': '5.0'}, {'url': '/u/operat0r', 'rating': '4.9'}, {'url': '/u/chetandc', 'rating': '5.0'}, {'url': '/u/Maxvisualization', 'rating': '4.7'}, {'url': '/u/brkbnkgll', 'rating': '5.0'}, {'url': '/u/rumpadas099', 'rating': '0.0'}, {'url': '/u/MrmRazeel', 'rating': '0.0'}]"
Arabic Translation,6 days left,https://www.freelancer.com/projects/arabic-translator/arabic-translation-33189370/,"I need someone to translate 200 words from
English to Arabic for medical purposes","Arabic Translator, Translation, English (US) Translator, English (UK) Translator, Spanish", $250-750 USD,['E-mail Verified'],6 freelancers are bidding on average $433 for this job,"[{'url': '/u/Sileman285', 'rating': '0.0'}, {'url': '/u/nidhishah01', 'rating': '0.0'}, {'url': '/u/sihamechad', 'rating': '0.0'}, {'url': '/u/shahriarkabir848', 'rating': '0.0'}, {'url': '/u/FatemaKhalil200', 'rating': '0.0'}]"
Edit Playing Card ----------------------------------------- 09,29 days left,https://www.freelancer.com/contest/edit-playing-card-2066157.html,,,,[],,[]
Data Entry,6 days left,https://www.freelancer.com/projects/data-entry/data-entry-33189368/,"We need skilled and experience data entry
experts to help me retype some unfinished
document. The payment for this project is
huge so I need serious freelancers who will be
dedicated to me and I need this project to be
done in time.
","Data Entry, Excel, Data Processing, Copy Typing, Word", $250-750 USD,['E-mail Verified'],12 freelancers are bidding on average $398 for this job,"[{'url': '/u/shah474', 'rating': '0.0'}, {'url': '/u/salordarell23', 'rating': '0.0'}, {'url': '/u/HamzaZia707', 'rating': '0.0'}, {'url': '/u/ayeshamohsin0304', 'rating': '0.0'}, {'url': '/u/Saksham9452', 'rating': '0.0'}, {'url': '/u/souravsharma0192', 'rating': '0.0'}, {'url': '/u/indrabasak181', 'rating': '0.0'}, {'url': '/u/ratananmol500', 'rating': '0.0'}, {'url': '/u/ahmedemad2010198', 'rating': '0.0'}, {'url': '/u/tripathiamar235', 'rating': '0.0'}, {'url': '/u/jgp4844', 'rating': '0.0'}]"
Importing Oberlo Products and Splitting Products Into Variants,6 days left,https://www.freelancer.com/projects/data-entry/importing-oberlo-products-splitting/,"Hey,

I have 370 products which i have selected to be added to my store. 

I would now like the products split by variants and add the products to my store individually

Once products are split i would like the products priced according to pricing on the website currently, Any pricing you need for new sizes send to me and i will price.

I would like the product names to be renamed to a 2-3 word product name

If this is something you can do let me know.","Data Entry, Data Processing, Shopify, Product Descriptions, Import/Export", $30-250 AUD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",14 freelancers are bidding on average $76 for this job,"[{'url': '/u/sujonmax2', 'rating': '5.0'}, {'url': '/u/brashel', 'rating': '4.9'}, {'url': '/u/chetandc', 'rating': '5.0'}, {'url': '/u/bktk', 'rating': '4.7'}, {'url': '/u/Farzana1122', 'rating': '4.9'}, {'url': '/u/usmanbashir12100', 'rating': '5.0'}, {'url': '/u/Stopsolution', 'rating': '5.0'}, {'url': '/u/exxarts', 'rating': '3.8'}, {'url': '/u/piyushamule18', 'rating': '0.0'}, {'url': '/u/tmukaila845', 'rating': '5.0'}, {'url': '/u/Phattygg', 'rating': '0.0'}, {'url': '/u/mrfarhaj', 'rating': '0.0'}, {'url': '/u/AkeelNajm', 'rating': '0.0'}]"
Need someone who can design my logo with animation,6 days left,https://www.freelancer.com/projects/animation/need-someone-who-can-design-33189355/,Need logo Animation with render ,"Animation, 3D Animation, After Effects, 3D Modelling, 3D Rendering", ₹600-1500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",5 freelancers are bidding on average ₹1140 for this job,"[{'url': '/u/SahilRao1247', 'rating': '4.8'}, {'url': '/u/Kreaytivelions', 'rating': '4.7'}, {'url': '/u/Vishuprajapat07', 'rating': '0.0'}, {'url': '/u/navidue', 'rating': '0.0'}]"
"Kraljic matrix, Pareto’s 80-20",6 days left,https://www.freelancer.com/projects/business-analysis/kraljic-matrix-pareto/,"I need an expert for Purchasing and Procurement article of 1500 words.
You need to use is 
Kraljic matrix 
Pareto’s 80-20","Business Analysis, Supply Chain", $10-30 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $30 for this job,[]
web design and create a few image file,6 days left,https://www.freelancer.com/projects/graphic-design/web-design-create-few-image/,"i want to create few section design in landing page
and i need few image for put in my landing page ","Graphic Design, Website Design, PHP, HTML, Photoshop", $30-250 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",19 freelancers are bidding on average $128 for this job,"[{'url': '/u/Friends4it', 'rating': '4.8'}, {'url': '/u/pawanjangirjpr', 'rating': '4.9'}, {'url': '/u/fenilrana129', 'rating': '5.0'}, {'url': '/u/rstomar', 'rating': '4.8'}, {'url': '/u/crea8ivetechno', 'rating': '4.8'}, {'url': '/u/Hadiabhalli', 'rating': '5.0'}, {'url': '/u/Slmmy', 'rating': '5.0'}, {'url': '/u/Alimobi', 'rating': '4.9'}, {'url': '/u/brunobennet', 'rating': '5.0'}, {'url': '/u/heberjulio65', 'rating': '0.0'}, {'url': '/u/rishu771', 'rating': '0.0'}, {'url': '/u/Alinakariva', 'rating': '0.0'}, {'url': '/u/jahan8835', 'rating': '0.0'}, {'url': '/u/ashwana2', 'rating': '0.0'}, {'url': '/u/odaialodeh', 'rating': '0.0'}, {'url': '/u/shaikhahtasham1', 'rating': '0.0'}, {'url': '/u/Ekkzucia', 'rating': '0.0'}, {'url': '/u/sandhyakuber', 'rating': '0.0'}]"
AWS CLI polly  - set up API + php,6 days left,https://www.freelancer.com/projects/amazon-web-services/aws-cli-polly-set-api/,"Hello, I need an experienced freelancer to set up AWS CLI for Polly, thanks!","Amazon Web Services, PHP, Linux, Software Architecture, AWS Polly", min $50 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average $50 for this job,[]
Copy typing,6 days left,https://www.freelancer.com/projects/data-entry/copy-typing-33189336/,I need a trustworthy freelancer to handle this writing project..,"Data Entry, Excel, Article Writing, Word, Copy Typing", $250-750 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",30 freelancers are bidding on average $442 for this job,"[{'url': '/u/JOYBEBE', 'rating': '0.0'}, {'url': '/u/mdrhaman', 'rating': '0.0'}, {'url': '/u/sciaditya', 'rating': '0.0'}, {'url': '/u/Haime02', 'rating': '0.0'}, {'url': '/u/hgxx26', 'rating': '0.0'}, {'url': '/u/sladiki635', 'rating': '0.0'}, {'url': '/u/ranaashi90', 'rating': '0.0'}, {'url': '/u/dubeykaran703', 'rating': '0.0'}, {'url': '/u/zahid252865', 'rating': '0.0'}, {'url': '/u/Golumaan', 'rating': '0.0'}, {'url': '/u/Azka71', 'rating': '0.0'}, {'url': '/u/seydamacit', 'rating': '0.0'}, {'url': '/u/JayJay528465', 'rating': '0.0'}, {'url': '/u/pronabsarkar852', 'rating': '0.0'}, {'url': '/u/gr893759', 'rating': '0.0'}, {'url': '/u/surajnayak9299e4', 'rating': '0.0'}, {'url': '/u/manukrish201518', 'rating': '0.0'}, {'url': '/u/dhavalsuthar974', 'rating': '0.0'}, {'url': '/u/maniyogesh789', 'rating': '0.0'}]"
website hosting,6 days left,https://www.freelancer.com/projects/web-hosting/website-hosting-33189332/,I have a Dot net nuke website files I need to host it in big rock or Godaddy Plesk ,"Web Hosting, VPS, Plesk, DotNetNuke", ₹600-1500 INR,['E-mail Verified'],1 freelancer is bidding on average ₹1050 for this job,[]
Create Code Coverage on Prometheus & Grafana,6 days left,https://www.freelancer.com/projects/gcp-ai/create-code-coverage-prometheus-grafana/,"Hi,

need a guy with an expertise to create code coverage using JEST LCOV format for Unit Test cases.

If you have read the description, do ping me what all metrics you can create for code coverage on Prometheus & Grafana.

Based on your response, we will shortlist candidate. ","GCP AI, Google Cloud Platform, Prometheus Monitoring, Linux, Cloud Computing", ₹750-1250 INR / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",Other jobs from this employer,[]
Gmail Support expert -- 2,6 days left,https://www.freelancer.com/projects/email-developer/gmail-support-expert/,"We have domain [login to view URL] and once we send email from this domain to any Gmail account it is going into spam 

We need someone to whitelist our domain from Gmail and 

make them receive the email in their inbox 

You can contact me  [Removed by Freelancer.com]",Email Developer, $30-250 USD,['E-mail Verified'],Similar jobs,[]
English to Indian Punjabi Translation,6 days left,https://www.freelancer.com/projects/translation/english-indian-punjabi-translation/,"We are looking for four qualified and experienced Indian Punjabi freelancers for regular collaboration. The current one is 18 pages (more than 4,500 words).

To save time in selecting suitable freelancers, a small test is given.

Please see attached test file and translate only the yellow portion. The format should be the same as in the test file.

Please don't waste time without the test sample because only those freelancers who submit the test will be considered. Thanks","Translation, English (US) Translator, Punjabi, Hindi", $2-8 USD / hour,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",7 freelancers are bidding on average $5/hour for this job,"[{'url': '/u/Taraanum', 'rating': '4.9'}, {'url': '/u/zamanbilal181', 'rating': '0.0'}, {'url': '/u/tiwariatul2002', 'rating': '0.0'}, {'url': '/u/sardareidalkhan', 'rating': '0.0'}, {'url': '/u/Utsav0021', 'rating': '0.0'}, {'url': '/u/Vernaeshaan', 'rating': '0.0'}]"
Need Google Analytic + Google App Store Analytic Expert,6 days left,https://www.freelancer.com/projects/google-analytics/need-google-analytic-google-app/,"Hi All

We are looking for a Google Analytic + Google App Store Analytic expert who can help us with folowing 

Rightnow the data is in one data stream, need to
Split the properties and have 3 different accounts without loosing old data

In GA Dashboard what are the important metric which are required to track

If someone has uninstalled app , can we know which user has uninstalled app

In Google Analytics what are the interpretation on Graphs and how should I use it

If a jobseeker apply for  ajob and an employer post a job , how can we track goal fulfillment


UTM setup for third party sites traffic tracking and reference links 


","Google Analytics, Google Adwords, Internet Marketing, SEO, PHP", ₹1500-12500 INR,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",1 freelancer is bidding on average ₹7000 for this job,[]
facebook ads specialist,6 days left,https://www.freelancer.com/projects/facebook-marketing/facebook-ads-specialist-33189302/,"I represent [login to view URL] and we are looking for a social media management specialist with extensive knowledge of Facebook and Instagram Ads and the Ad Platform for our agency.

We have ~35 active clients; however, only ~9 clients currently have active campaigns. We expect that number to increase over time. The person we hire will be responsible for maintenance, management, set up, and will need to participate in conversations about marketing strategy as well.

The agency uses Monday (project management), Slack (agency communication) and Miro (online collaboration) on a daily basis. Experience with these softwares are not required, but preferred.

Must have at least 1+ year experience. Marketing Degree Preferred.

Salary starts at $500/month paid in one installment on the 15th of each month. Bonuses available. Performance reviews are completed every 3 months with potential for a raise.

Serious inquiries that meet the requirements only please.","Facebook Marketing, Internet Marketing, Social Media Marketing, Advertising, Marketing", $250-750 USD,"['E-mail Verified', 'Payment Verified', 'Made a Deposit']",8 freelancers are bidding on average $326 for this job,"[{'url': '/u/rstomar', 'rating': '4.9'}, {'url': '/u/saminakiran2', 'rating': '5.0'}, {'url': '/u/Synamatic', 'rating': '5.0'}, {'url': '/u/akashkhandaker', 'rating': '5.0'}, {'url': '/u/wahedsikder', 'rating': '5.0'}, {'url': '/u/TheDigiWizard10', 'rating': '0.0'}, {'url': '/u/Ekkzucia', 'rating': '0.0'}]"
